amazon.com,54.239.28.85
wordpress.com,192.0.78.9
ifeng.com,82.156.59.186
hotmail.com,204.79.197.212
goo.ne.jp,114.179.184.93
paipai.com,106.39.169.133
bbc.co.uk,151.101.192.81
yandex.ru,77.88.55.70
myspace.com,63.135.90.70
alipay.com,110.75.139.5
tudou.com,106.11.43.215
facebook.com,31.13.80.36
softonic.com,35.227.233.104
youtube.com,172.217.165.14
yahoo.co.jp,183.79.135.206
nifty.com,222.158.213.148
sohu.com,211.159.191.77
360.cn,36.110.213.10
imageshack.us,208.94.3.18
mail.ru,94.100.180.201
cnn.com,151.101.129.67
yahoo.com,98.137.11.163
live.com,204.79.197.212
craigslist.org,208.82.237.129
apple.com,17.253.144.10
wikipedia.org,208.80.154.224
hao123.com,39.156.68.154
tianya.cn,124.225.206.22
cnet.com,34.95.96.50
windows.com,40.112.72.205
go.com,23.236.60.174
msn.com,13.82.28.61
baidu.com,220.181.38.148
ebay.com,216.113.179.53
mywebsearch.com,34.117.28.143
pps.tv,116.211.199.233
zynga.com,13.225.229.26
partypoker.com,195.72.135.91
xunlei.com,121.41.61.107
56.com,183.232.65.145
fc2.com,199.48.210.151
paypal.com,64.4.250.36
4399.com,129.211.129.109
orkut.com,216.239.34.21
weather.com,104.93.179.52
blogspot.com,172.217.165.9
hp.com,15.73.192.108
skype.com,40.121.80.200
ameblo.jp,151.101.66.133
microsoft.com,104.215.148.63
naver.com,223.130.195.95
flickr.com,13.226.131.119
qq.com,123.151.137.18
taobao.com,140.205.220.96
bing.com,204.79.197.200
sina.com.cn,49.7.37.133
soku.com,106.11.47.19
4shared.com,204.155.146.95
soso.com,119.28.109.132
163.com,123.58.180.8
amazon.co.jp,52.119.164.121
linkedin.com,13.107.42.14
walmart.com,161.170.232.170
dailymotion.com,195.8.215.136
kugou.com,183.131.48.92
alibaba.com,198.11.132.198
sogou.com,119.28.109.132
renren.com,120.133.2.242
tmall.com,140.205.130.99
ask.com,151.101.210.114
imdb.com,52.94.237.74
ku6.com,117.50.1.222
adobe.com,72.136.195.107
livedoor.jp,
twitter.com,104.244.42.129
blogger.com,142.251.33.169
rakuten.co.jp,133.237.16.234
mozilla.com,44.236.48.31
ebay.de,216.113.179.53
youku.com,106.11.43.158
vkontakte.ru,87.240.190.67
youdao.com,103.72.47.249
aol.com,98.136.103.23
answers.com,151.101.192.203
about.com,151.101.194.137
hotfile.com,18.207.9.28
sdjjdsaf.com,
andysayler.com,159.89.253.85
rapidshare.com,0.0.0.0
daum.net,203.133.167.16
qiyi.com,111.206.13.63
wmfo.org,23.92.21.128
orkut.com.br,132.148.40.250
7k7k.com,157.185.163.158
2345.com,180.101.190.124
photobucket.com,13.33.165.14
mediafire.com,104.16.203.237
pconline.com.cn,219.136.244.85
odnoklassniki.ru,217.20.155.13
ehow.com,104.106.210.193
seesaa.net,99.86.61.58
jp.msn.com,13.82.28.61
